name,country,region,cost_index,popularity_score,image_url,description
Paris,France,Europe,4,98,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=800,The City of Light famed for art and cuisine
Tokyo,Japan,Asia,4,96,https://images.unsplash.com/photo-1503899036084-c55cdd92da26?w=800,Vibrant metropolis blending futuristic tech and temples
Rome,Italy,Europe,3,94,https://images.unsplash.com/photo-1552832230-c0197dd311b5?w=800,Open-air museum of ancient ruins and espresso
Barcelona,Spain,Europe,3,92,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800,Gaudí architecture and seaside promenade
Bali,Indonesia,Asia,2,95,https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800,Tropical paradise with rice terraces and beaches
New York City,USA,North America,5,99,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800,The Big Apple with skyscrapers and Broadway
London,UK,Europe,4,97,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=800,Historic landmarks and royal heritage
Kyoto,Japan,Asia,3,91,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800,Traditional wooden houses and zen bamboo groves
Sydney,Australia,Oceania,4,90,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?w=800,Iconic Opera House and Bondi surf beaches
Amsterdam,Netherlands,Europe,3,93,https://images.unsplash.com/photo-1512470876302-972faa2aa9a4?w=800,Canals and bicycle culture
Dubai,UAE,Middle East,4,95,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800,Futuristic architecture and luxury shopping
Bangkok,Thailand,Asia,2,92,https://images.unsplash.com/photo-1508009603885-50cf7c579365?w=800,Ornate shrines and bustling street life
