id,name,country,region,cost_index,popularity_score,lat,lng,best_season,avg_daily_budget_usd,image_url,description
c1,Paris,France,Europe,4,98,48.8566,2.3522,Spring/Autumn,180,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?w=800,"The City of Light, famed for art, gastronomy, and romantic architecture."
c2,Tokyo,Japan,Asia,4,96,35.6762,139.6503,Spring/Autumn,200,https://images.unsplash.com/photo-1503899036084-c55cdd92da26?w=800,"A vibrant metropolis blending futuristic high-rises with historic temples."
c3,Rome,Italy,Europe,3,94,41.9028,12.4964,Spring/Autumn,150,https://images.unsplash.com/photo-1552832230-c0197dd311b5?w=800,"An open-air museum filled with ancient ruins and Renaissance art."
c4,Barcelona,Spain,Europe,3,92,41.3851,2.1734,May-October,140,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=800,"Cosmopolitan seaside city renowned for Gaudi architecture and tapas."
c5,Bali,Indonesia,Asia,2,95,-8.4095,115.1889,May-September,75,https://images.unsplash.com/photo-1537996194471-e657df975ab4?w=800,"Tropical paradise known for volcanic mountains, rice paddies, and coral reefs."
c6,New York City,USA,North America,5,99,40.7128,-74.0060,Autumn/Spring,250,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800,"The Big Apple with iconic skyscrapers, Broadway shows, and 24/7 energy."
c7,Cairo,Egypt,Africa,2,89,30.0444,31.2357,October-April,60,https://images.unsplash.com/photo-1572252009286-268acec5ca0a?w=800,"Gateway to ancient pyramids, the Nile River, and vibrant bazaars."
c8,Sydney,Australia,Oceania,4,91,-33.8688,151.2093,November-March,190,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?w=800,"Iconic harbor city famous for the Sydney Opera House and Bondi Beach."
c9,Kyoto,Japan,Asia,3,93,35.0116,135.7681,Spring/Autumn,160,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800,"Classical Japanese imperial capital renowned for wooden temples and zen gardens."
c10,Amsterdam,Netherlands,Europe,4,90,52.3676,4.9041,April-September,170,https://images.unsplash.com/photo-1512470876302-972faa2aa9a4?w=800,"Historic canals, world-class art museums, and picturesque cycling culture."
c11,Cape Town,South Africa,Africa,2,88,-33.9249,18.4241,December-March,80,https://images.unsplash.com/photo-1580618672591-eb180b1a973f?w=800,"Spectacular coastal city backdropped by Table Mountain and vineyards."
c12,Bangkok,Thailand,Asia,2,93,13.7563,100.5018,November-February,70,https://images.unsplash.com/photo-1508009603885-50cf7c579365?w=800,"Dynamic hub of ornate shrines, bustling street life, and night markets."
c13,London,United Kingdom,Europe,5,97,51.5074,-0.1278,Summer/Spring,220,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=800,"Historic capital with West End theatre, royal landmarks, and world-class museums."
c14,Dubai,UAE,Middle East,5,94,25.2048,55.2708,November-March,240,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=800,"Ultramodern luxury oasis with Burj Khalifa, desert safaris, and high-end dining."
c15,Rio de Janeiro,Brazil,South America,3,90,-22.9068,-43.1729,December-March,110,https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=800,"Famed for Copacabana beach, Christ the Redeemer, and Carnival samba rhythms."
