id,city_id,name,category,cost,duration_minutes,rating,image_url,description
a1,c1,Eiffel Tower Summit & Champagne,sightseeing,45,150,4.9,https://images.unsplash.com/photo-1511739001486-6bfe10ce785f?w=600,"Top floor summit access with breathtaking 360-degree panorama of Paris."
a2,c1,Louvre Masterpieces Guided Tour,culture,65,180,4.8,https://images.unsplash.com/photo-1499856871958-5b9627545d1a?w=600,"Skip-the-line tour of the Mona Lisa, Venus de Milo, and French treasures."
a3,c1,Montmartre Artisan Pastry & Wine,food,55,120,4.9,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600,"Sample fresh croissants, macarons, local cheeses, and Bordeaux vintage wine."
a4,c2,Shibuya Crossing & Izakaya Crawl,food,50,180,4.9,https://images.unsplash.com/photo-1542051841857-5f90071e7989?w=600,"Experience Tokyo's busiest crossing followed by authentic yakitori and sake."
a5,c2,Senso-ji Temple & Asakusa Rickshaw,culture,40,120,4.7,https://images.unsplash.com/photo-1536098561742-ca998e48cbcc?w=600,"Traditional rickshaw journey around Tokyo's oldest temple complex."
a6,c3,Colosseum Underground & Arena VIP,sightseeing,75,180,5.0,https://images.unsplash.com/photo-1552832230-c0197dd311b5?w=600,"Explore gladiator chambers and Roman Forum with an archaeologist."
a7,c4,Sagrada Familia Towers & Express Access,culture,38,120,4.9,https://images.unsplash.com/photo-1583422409516-2895a77efded?w=600,"Antoni Gaudi masterpiece with audio guide and panoramic tower elevators."
a8,c5,Mount Batur Sunrise Volcano Trek,adventure,60,360,4.8,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=600,"Early morning hike to summit crater followed by relaxing natural hot springs."
a9,c6,Statue of Liberty & Ellis Island Cruise,sightseeing,35,180,4.7,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=600,"Ferry to Liberty Island with full access to museum and immigrant records."
a10,c7,Giza Pyramids & Sphinx Camel Safari,adventure,50,240,4.8,https://images.unsplash.com/photo-1572252009286-268acec5ca0a?w=600,"Guided camel ride across the golden sands of the Giza Plateau."
a11,c8,Sydney Harbour Bridge Climb,adventure,180,210,4.9,https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9?w=600,"Scale the iconic steel arches for uninterrupted views of Sydney Harbour."
a12,c9,Fushimi Inari Torii Gates Dawn Walk,culture,0,120,4.9,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=600,"Peaceful morning walk through thousands of scarlet Shinto shrine gates."
a13,c10,Canal Cruise & Rijksmuseum Fast Track,sightseeing,55,180,4.8,https://images.unsplash.com/photo-1512470876302-972faa2aa9a4?w=600,"Scenic boat tour along UNESCO canals followed by Rembrandt masterpieces."
a14,c11,Table Mountain Cable Car & Summit Trail,adventure,40,180,4.8,https://images.unsplash.com/photo-1580618672591-eb180b1a973f?w=600,"Rotating cable car ride with 360-degree vistas of the Atlantic ocean."
a15,c12,Grand Palace & Wat Pho Temple Tour,culture,45,180,4.7,https://images.unsplash.com/photo-1508009603885-50cf7c579365?w=600,"Marvel at the Emerald Buddha and giant golden Reclining Buddha statue."
a16,c13,Tower of London & Crown Jewels,sightseeing,42,150,4.8,https://images.unsplash.com/photo-1513635269975-59663e0ac1ad?w=600,"Historic royal fortress, Yeoman Warder tour, and sparkling coronation regalia."
a17,c14,Desert Dune Bashing & BBQ Bedouin Camp,adventure,70,300,4.9,https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=600,"Thrilling 4x4 dune drive, sandboarding, falconry, and traditional Arabian banquet."
a18,c15,Sugarloaf Mountain Cable Car Sunset,sightseeing,35,120,4.9,https://images.unsplash.com/photo-1483729558449-99ef09a8c325?w=600,"Panoramic cable car to the summit over Guanabara Bay as twilight falls."
